Class,Biological Process,Gene
Adaptive Immunity,Th17 Differentiation,STAT3 
Adaptive Immunity,Th17 Differentiation,TBX21 
Adaptive Immunity,Th17 Differentiation,TGFB1 
Adaptive Immunity,Th17 Differentiation,TGFBR1 
Adaptive Immunity,Th17 Differentiation,TGFBR2 
Adaptive Immunity,Th17 Differentiation,TNF 
Adaptive Immunity,Th17 Differentiation,TYK2
Adaptive Immunity,Th2 Differentiation,GATA3 
Adaptive Immunity,Th2 Differentiation,IL13 
Adaptive Immunity,Th2 Differentiation,IL2 
Adaptive Immunity,Th2 Differentiation,IL2RA 
Adaptive Immunity,Th2 Differentiation,IL2RB 
Adaptive Immunity,Th2 Differentiation,IL2RG 
Adaptive Immunity,Th2 Differentiation,IL4 
Adaptive Immunity,Th2 Differentiation,IL4R 
Adaptive Immunity,Th2 Differentiation,IL5 
Adaptive Immunity,Th2 Differentiation,IL6 
Adaptive Immunity,Th2 Differentiation,JAG1 
Adaptive Immunity,Th2 Differentiation,JAG2 
Adaptive Immunity,Th2 Differentiation,JAK3 
Adaptive Immunity,Th2 Differentiation,MAF 
Adaptive Immunity,Th2 Differentiation,NOTCH1 
Adaptive Immunity,Th2 Differentiation,NOTCH2 
Adaptive Immunity,Th2 Differentiation,RUNX3 
Adaptive Immunity,Th2 Differentiation,STAT5B 
Adaptive Immunity,Th2 Differentiation,STAT6 
Adaptive Immunity,Th2 Differentiation,TBX21
Adaptive Immunity,Th9 Differentiation,GATA3 
Adaptive Immunity,Th9 Differentiation,IL4 
Adaptive Immunity,Th9 Differentiation,IL9 
Adaptive Immunity,Th9 Differentiation,IRF4 
Adaptive Immunity,Th9 Differentiation,RELA 
Adaptive Immunity,Th9 Differentiation,SMAD2 
Adaptive Immunity,Th9 Differentiation,SMAD3 
Adaptive Immunity,Th9 Differentiation,STAT6 
Adaptive Immunity,Th9 Differentiation,TGFB1 
Adaptive Immunity,Th9 Differentiation,TGFBR1 
Adaptive Immunity,Th9 Differentiation,TGFBR2
Adaptive Immunity,Treg Differentiation,FOXP3 
Adaptive Immunity,Treg Differentiation,IL10 
Adaptive Immunity,Treg Differentiation,IL10RA 
